id,voter_id,votee_id
1,34,9
2,22,20
3,43,12
4,27,18
5,36,14
6,40,15
7,21,19
8,30,16
9,21,19
10,29,11
11,24,13
12,38,10
13,50,15
14,45,17
15,45,5
16,47,5
17,38,2
18,49,14
19,34,6
20,42,8
21,42,10
22,27,18
23,47,10
24,21,14
25,40,18
26,21,8
27,34,8
28,22,6
29,46,9
30,22,9
31,40,8
32,42,5
33,22,6
34,30,4
35,26,3
36,21,10
37,23,5
38,32,6
39,35,5
40,28,9
41,35,8
42,33,16
43,32,6
44,45,12
45,32,11
46,46,13
47,29,17
48,42,20
49,38,15
50,25,3
51,22,9
52,37,16
53,35,3
54,45,20
55,48,3
56,46,18
57,48,13
58,46,16
59,41,15
60,27,7
61,50,20
62,31,15
63,27,12
64,39,9
65,50,15
66,36,3
67,42,14
68,48,10
69,30,17
70,40,18
71,49,6
72,27,14
73,42,11
74,49,17
75,22,14
76,34,17
77,47,17
78,40,6
79,23,6
80,45,18
81,22,19
82,34,7
83,48,12
84,27,20
85,26,14
86,33,12
87,39,17
88,48,6
89,29,16
90,50,5
91,49,15
92,50,4
93,38,18
94,35,6
95,43,19
96,40,16
97,42,19
98,25,5
99,46,4
100,48,17
101,21,19
102,46,13
103,35,18
104,32,18
105,29,13
106,38,3
107,44,3
108,23,10
109,38,7
110,30,13
111,35,20
112,23,7
113,48,10
114,37,10
115,24,13
116,41,17
117,24,15
118,30,3
119,44,13
120,41,16
121,46,13
122,43,11
123,23,7
124,35,15
125,33,10
126,21,18
127,46,13
128,32,17
129,25,6
130,45,9
131,46,3
132,25,2
133,42,6
134,43,9
135,27,16
136,22,14
137,32,4
138,44,4
139,40,7
140,26,6
141,34,9
142,45,2
143,47,6
144,48,5
145,38,5
146,30,16
147,23,15
148,49,13
149,46,3
150,42,18
